# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "2",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (X) [cm], DOSE [MeV/g/prim]
0.6949999999999998, 1.0892351386804795
0.7050000000000001, 1.0443718026790525
0.7149999999999999, 1.0502556738294804
0.7250000000000001, 1.0699914518705056
0.7349999999999999, 1.0987428121911191
0.7450000000000001, 1.0737891216452984
0.7549999999999999, 1.0370569770669928
0.7650000000000001, 1.0509671055940808
0.7749999999999999, 1.0415405152456105
0.7850000000000001, 1.0496118143986497
0.7949999999999999, 1.0417478622860477
0.8050000000000002, 1.055782195729554
0.815, 1.0495996741803444
0.8250000000000002, 1.045985236855198
0.835, 1.0334583437855305
0.8449999999999998, 1.0395624799022063
0.855, 1.0118325629886573
0.8649999999999998, 1.0130412626659677
0.875, 1.0296402545544416
0.8849999999999998, 1.0226270721196749
0.895, 1.0229626070819753
0.9049999999999998, 1.0022762733569932
0.915, 1.0198573306940264
0.9249999999999998, 1.0332633549983883
0.935, 1.0311055908997855
0.9449999999999998, 1.0313973246704307
0.9550000000000001, 0.9870435652448425
0.9649999999999999, 1.0026928987581079
0.9750000000000001, 1.0010866167668306
0.9849999999999999, 1.0117717214473048
0.9950000000000001, 1.010502878806306
1.005, 1.0071520377725778
1.0150000000000001, 0.9886328816806645
1.025, 1.0009843675408068
1.0350000000000001, 0.9861195361427354
1.045, 0.9685481457891412
1.0550000000000002, 0.9789321937574821
1.065, 1.0053979049314727
1.0750000000000002, 0.9738665940124818
1.085, 0.975438804417362
1.0949999999999998, 0.9771920487997956
1.105, 0.9736024854116295
1.1149999999999998, 0.9630472701642112
1.125, 0.9679010407143237
1.1349999999999998, 0.9618159070321148
1.145, 0.969103997675987
1.1549999999999998, 0.9692787610817751
1.165, 0.9659318988031506
1.1749999999999998, 0.9911080791610312
1.185, 0.95908178156369
1.1949999999999998, 0.9719130091389027
1.205, 0.9536122843068578
1.2149999999999999, 0.9477504292720905
1.225, 0.9451971831514803
1.2349999999999999, 0.9704270827071905
1.245, 0.9480172780798496
1.255, 0.9692028529595562
1.2650000000000001, 0.9289301156843673
1.275, 0.9486534202620758
1.2850000000000001, 0.9379531048918844
1.295, 0.9418481219429655
1.3050000000000002, 0.9360308457718188
1.315, 0.9290843748003316
1.3250000000000002, 0.921465529103728
1.335, 0.9175772167041102
1.3449999999999998, 0.94268328524377
1.355, 0.9259824381339788
1.3649999999999998, 0.9240966587433029
1.375, 0.9244201626048033
1.3849999999999998, 0.9196214791421271
1.395, 0.9098013624564576
1.4049999999999998, 0.9072114306418867
1.415, 0.9138943201151799
1.4249999999999998, 0.9113838276058022
1.435, 0.9206831195033892
1.4449999999999998, 0.8952705260083473
1.455, 0.9169209864613777
1.4649999999999999, 0.910272770282262
1.475, 0.9143442107266075
1.4849999999999999, 0.8989822609172942
1.495, 0.9012212640378923
1.505, 0.8999971331680362
1.5149999999999997, 0.8988438619394975
1.5250000000000004, 0.8985292519750251
1.5350000000000001, 0.8991444111301937
1.545, 0.8857046116902906
1.5549999999999997, 0.8785855194752382
1.5650000000000004, 0.8895647113857991
1.5750000000000002, 0.8781694011892291
1.585, 0.8796023782552792
1.5949999999999998, 0.8827164774529087
1.6049999999999995, 0.8915234227966059
1.6150000000000002, 0.8970977226167892
1.625, 0.8855186056377458
1.6349999999999998, 0.8847312177034008
1.6449999999999996, 0.880055665772226
1.6550000000000002, 0.86364575319344
1.665, 0.8739973846149797
1.6749999999999998, 0.8532207493221077
1.6849999999999996, 0.862137772624287
1.6950000000000003, 0.8760154271717937
1.705, 0.8646923213302155
1.7149999999999999, 0.866107663539977
1.7249999999999996, 0.862618990745899
1.7350000000000003, 0.8561418115578879
1.745, 0.8707302443133544
1.755, 0.8700541116889849
1.7649999999999997, 0.8514144381841595
1.7750000000000004, 0.8898989458377151
1.7850000000000001, 0.8738609264238553
1.795, 0.8683051065431704
1.8049999999999997, 0.8707893163829501
1.8150000000000004, 0.849604254617067
1.8250000000000002, 0.8543261387058031
1.835, 0.8840053364702005
1.8449999999999998, 0.8655625139755585
1.8550000000000004, 0.8643754722021217
1.8650000000000002, 0.8670359701424133
1.875, 0.8732888782505263
1.8849999999999998, 0.867893285325028
1.8949999999999996, 0.8607367618247815
1.9050000000000002, 0.8672306294677747
1.915, 0.8542615039642033
1.9249999999999998, 0.8627957624598891
1.9349999999999996, 0.8649692114626103
1.9450000000000003, 0.8018223138233997
1.955, 0.7421660730696437
1.9649999999999999, 0.6391057027612493
1.9749999999999996, 0.543181914797058
1.9850000000000003, 0.42671085228667527
1.995, 0.2355855085242466
2.005, 0.0034817336615237658
2.0149999999999997, 0.0034451905451858868
2.0250000000000004, 0.002551367798520144
2.035, 0.002732533173763553
2.045, 0.002637772251300844
2.0549999999999997, 0.002668247768400026
2.0650000000000004, 0.002754152145264524
2.075, 0.003078415678277334
2.085, 0.0028934457093170037
2.0949999999999998, 0.0020585480180690834
2.1050000000000004, 0.002226984648214729
2.115, 0.0021929160241635913
2.125, 0.0015834001297242363
2.135, 0.0013795601441627923
2.1449999999999996, 0.0013045379136564221
