# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "8",
#    "detectorUnit": "MeV",
#    "dettyp": "AVG-ENERGY",
#    "name": "AVG-ENERGY",
#    "pageDiffUnits": "MeV",
#    "pageFilterName": "Protons",
#    "pageNormalized": "3",
#    "pageNumber": "1",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[70 70 70]",
#    "unit": "MeV"
#}
# --------------------------------
Position (X) [cm], AVG-ENERGY [MeV]
-0.7150000000000001, 17.400185627429163
-0.7050000000000001, 17.685458234518936
-0.6950000000000001, 18.054818129172
-0.685, 18.360659653866197
-0.675, 18.711018711377296
-0.665, 19.045175184894468
-0.655, 19.357745265839387
-0.645, 19.576298153917357
-0.635, 19.95396628176884
-0.625, 20.25297588262136
-0.615, 20.561755970782112
-0.605, 20.86730793361882
-0.595, 21.095909341641377
-0.585, 21.344580432088897
-0.5750000000000002, 21.654053050384174
-0.5650000000000002, 21.958207520635284
-0.5550000000000002, 22.25820788424445
-0.5450000000000002, 22.50082467836264
-0.5350000000000001, 22.78886801120916
-0.5250000000000001, 23.044360581596692
-0.5150000000000001, 23.319348537877808
-0.5050000000000001, 23.582599516415964
-0.4950000000000001, 23.863469672609437
-0.4849999999999999, 24.154182143070397
-0.4750000000000001, 24.34806112810322
-0.46499999999999986, 24.661968011857457
-0.45500000000000007, 24.894157566252947
-0.4450000000000003, 25.106644958119723
-0.43500000000000005, 25.35353058304575
-0.42500000000000027, 25.59632803336321
-0.41500000000000004, 25.876012232832526
-0.40500000000000025, 26.089741952743335
-0.395, 26.33594433019447
-0.38500000000000023, 26.571368564474902
-0.375, 26.824715514240726
-0.3650000000000002, 27.07235532974874
-0.355, 27.274709007428715
-0.3450000000000002, 27.50941453853698
-0.33499999999999996, 27.709648502146205
-0.3250000000000002, 27.948588350284446
-0.31499999999999995, 28.142385832697766
-0.30500000000000016, 28.405003229399206
-0.29499999999999993, 28.675359216976457
-0.28500000000000014, 28.825861723357736
-0.2749999999999999, 29.10145437589095
-0.2650000000000001, 29.29778180068525
-0.2549999999999999, 29.508715034407683
-0.2450000000000001, 29.762590166315675
-0.23499999999999988, 30.007004289437067
-0.2250000000000001, 30.223149921306195
-0.21499999999999986, 30.424968353487724
-0.20500000000000007, 30.66729584438156
-0.19499999999999984, 30.87467858691872
-0.18500000000000005, 31.072406014800045
-0.17500000000000027, 31.256879248319855
-0.16500000000000004, 31.482321427435334
-0.15500000000000025, 31.672100795371033
-0.14500000000000002, 31.862792655252953
-0.13500000000000023, 32.07929126367602
-0.125, 32.281776960026
-0.11500000000000021, 32.48214224850909
-0.10499999999999998, 32.698377277306676
-0.0950000000000002, 32.893903855622305
-0.08499999999999996, 33.06282887957317
-0.07500000000000018, 33.281149043554045
-0.06499999999999995, 33.50486482749431
-0.05500000000000016, 33.69761205145786
-0.04499999999999993, 33.900402453225546
-0.03500000000000014, 34.12409606673916
-0.02499999999999991, 34.30040021532367
-0.015000000000000124, 34.48834074739967
-0.004999999999999893, 34.627121267327546
0.004999999999999893, 34.83083178135943
0.015000000000000124, 35.062317299551744
0.02499999999999991, 35.24675433962559
0.03500000000000014, 35.390119953458
0.04499999999999993, 35.65621568433194
0.05500000000000016, 35.817677537095875
0.06499999999999995, 35.967791921350276
0.07499999999999973, 36.181836228347514
