# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "0",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (Z) [cm], DOSE [MeV/g/prim]
1.286, 0.4857030535013333
1.29, 0.4856314082011398
1.294, 0.4804503756518814
1.298, 0.4815298940885295
1.302, 0.4908521267318806
1.306, 0.48302505748792884
1.31, 0.4803022396905071
1.314, 0.48344924767873937
1.318, 0.48329177577822796
1.322, 0.4840062923403659
1.326, 0.48451249768822185
1.33, 0.4913971543260434
1.334, 0.4905986989739399
1.338, 0.4901573485369584
1.342, 0.48522426597875906
1.346, 0.48422295795753045
1.35, 0.48508638880158655
1.354, 0.48859661278986294
1.358, 0.49195121055036384
1.362, 0.4921123615139445
1.366, 0.49411963080528437
1.37, 0.5027495675550601
1.374, 0.4951293306042718
1.3780000000000001, 0.4937166302301446
1.3820000000000001, 0.49150345503555093
1.3860000000000001, 0.49257327132178647
1.3900000000000001, 0.49258429110380536
1.3940000000000001, 0.4921176013234907
1.3980000000000001, 0.49286607791966425
1.4020000000000001, 0.49009558034844125
1.4060000000000001, 0.490047605634323
1.41, 0.49362106141563905
1.414, 0.5005716172960585
1.418, 0.4938623420708398
1.422, 0.496277327517381
1.426, 0.49701421860640166
1.43, 0.5010441787387712
1.434, 0.49681669345618534
1.438, 0.5008670989208661
1.442, 0.5022449131258179
1.446, 0.49677892351526565
1.45, 0.5007666628327604
1.454, 0.49760286286394856
1.458, 0.4978678815789312
1.462, 0.49976104912328095
1.466, 0.5036278097387237
1.47, 0.5060196559829898
1.474, 0.5045519285888097
1.478, 0.5043051176276924
1.482, 0.5122362470429256
1.486, 0.505945482967309
1.49, 0.5077000553348237
1.494, 0.50890258253284
1.498, 0.5095260345703084
1.502, 0.5118362896763806
1.506, 0.5129554218107618
1.51, 0.5104635555953527
1.514, 0.5117401840417953
1.518, 0.5112815784770407
1.522, 0.5140090230142449
1.526, 0.5102672292635262
1.53, 0.5096400019598358
1.534, 0.51253196528331
1.538, 0.5092605868706818
1.542, 0.5076315189030639
1.546, 0.512588854288327
1.55, 0.5086163821303007
1.554, 0.5127734533134316
1.558, 0.5190825015000697
1.562, 0.5160877715291056
1.566, 0.5144172140509923
1.57, 0.5156025430578278
1.574, 0.5172247293766331
1.578, 0.517209900163079
1.582, 0.5189724456612919
1.586, 0.5200351736458143
1.59, 0.528928309762562
1.594, 0.5180715407233191
1.598, 0.5210697690704327
1.602, 0.5248780669737436
1.606, 0.5328148083365359
1.61, 0.5230208992377228
1.614, 0.5200682891625739
1.618, 0.5296655044154543
1.622, 0.5237955134584009
1.6260000000000001, 0.5295771779868202
1.6300000000000001, 0.5261973281048674
1.6340000000000001, 0.5252800672615138
1.6380000000000001, 0.5274952778856599
1.6420000000000001, 0.5258875637526127
1.6460000000000001, 0.5259195665382284
1.6500000000000001, 0.5273480835512048
1.6540000000000001, 0.5310421879643673
